Id,SalePrice
1461,117345.375
1462,160504.48
1463,185364.77
1464,194249.3
1465,197057.86
1466,176113.55
1467,177187.05
1468,166699.16
1469,184150.12
1470,128743.62
1471,193590.1
1472,95967.766
1473,103138.086
1474,151601.89
1475,122835.92
1476,393351.3
1477,262605.84
1478,289416.38
1479,219130.48
1480,508813.7
1481,316614.22
1482,215046.72
1483,167913.1
1484,167050.62
1485,181827.34
1486,191331.25
1487,353520.94
1488,227436.88
1489,210207.1
1490,216710.67
1491,193374.98
1492,83228.836
1493,189485.1
1494,304648.2
1495,300834.06
1496,224028.69
1497,183413.17
1498,165883.52
1499,160542.33
1500,156358.12
1501,178945.45
1502,146171.16
1503,301775.47
1504,235295.3
1505,224681.58
1506,181984.88
1507,261349.2
1508,198428.81
1509,160276.84
1510,146878.28
1511,139550.03
1512,169761.64
1513,138872.92
1514,186840.11
1515,211109.11
1516,159911.16
1517,164075.77
1518,128791.97
1519,224215.89
1520,133707.64
1521,130183.92
1522,171298.73
1523,109461.79
1524,119657.55
1525,122496.266
1526,119673.65
1527,102787.49
1528,137264.95
1529,150591.38
1530,164932.89
1531,87846.6
1532,106994.85
1533,158650.95
1534,125608.03
1535,155050.81
1536,104760.55
1537,68821.555
1538,197545.31
1539,201505.6
1540,108572.37
1541,150042.23
1542,143302.98
1543,225287.77
1544,76327.18
1545,115067.85
1546,133154.8
1547,134215.98
1548,145949.31
1549,123174.484
1550,145334.33
1551,121232.42
1552,162406.66
1553,164456.55
1554,111331.26
1555,167102.2
1556,81490.37
1557,101711.375
1558,94453.35
1559,90894.53
1560,129339.22
1561,139647.8
1562,130346.414
1563,121875.85
1564,159208.47
1565,144318.75
1566,231030.7
1567,70663.74
1568,217199.39
1569,139453.38
1570,131530.81
1571,121207.56
1572,153340.33
1573,233514.48
1574,117398.086
1575,221466.08
1576,220146.38
1577,193304.48
1578,152031.97
1579,151040.66
1580,196242.39
1581,156878.58
1582,129978.6
1583,329845.12
1584,222811.95
1585,141638.7
1586,72396.27
1587,100574.414
1588,145513.61
1589,101716.04
1590,134023.7
1591,91826.98
1592,125784.92
1593,132037.2
1594,160252.14
1595,112393.07
1596,237998.8
1597,174699.3
1598,208064.02
1599,179658.11
1600,179658.61
1601,75024.336
1602,115322.71
1603,66292.61
1604,273822.8
1605,239103.28
1606,165796.66
1607,175232.7
1608,216230.14
1609,196968.92
1610,152479.77
1611,133130.58
1612,160161.75
1613,162182.31
1614,121975.0
1615,93768.6
1616,66649.17
1617,96359.49
1618,127958.38
1619,137094.45
1620,172964.12
1621,135298.8
1622,150488.3
1623,283875.4
1624,207924.39
1625,129039.39
1626,160347.47
1627,184960.53
1628,274997.25
1629,180419.81
1630,398770.06
1631,230502.53
1632,249994.1
1633,170155.36
1634,186908.75
1635,181508.17
1636,157569.06
1637,197884.84
1638,202503.7
1639,177498.83
1640,258004.72
1641,177374.2
1642,221205.17
1643,209771.61
1644,221622.17
1645,205971.53
1646,158729.9
1647,158754.23
1648,128729.586
1649,136113.95
1650,122500.445
1651,126277.805
1652,97596.914
1653,96171.7
1654,145495.61
1655,145020.98
1656,145615.94
1657,147736.36
1658,142877.1
1659,134047.52
1660,152730.42
1661,454419.72
1662,406358.7
1663,418504.5
1664,326995.9
1665,353125.78
1666,297014.28
1667,359824.88
1668,339628.97
1669,291195.84
1670,355183.66
1671,266832.75
1672,507099.44
1673,294657.38
1674,242455.27
1675,187969.58
1676,190607.3
1677,225538.0
1678,524083.3
1679,366098.53
1680,347988.47
1681,267266.22
1682,282704.1
1683,172642.19
1684,165857.83
1685,173197.25
1686,168485.95
1687,166163.12
1688,186712.84
1689,190413.8
1690,189053.36
1691,179582.44
1692,267117.44
1693,168833.56
1694,184820.17
1695,164991.78
1696,280332.03
1697,173617.47
1698,383947.34
1699,339515.47
1700,241596.58
1701,260752.56
1702,258247.17
1703,247350.94
1704,299708.06
1705,233366.4
1706,496590.7
1707,215987.1
1708,207795.61
1709,301216.3
1710,223821.72
1711,241279.88
1712,271827.56
1713,258385.86
1714,220553.61
1715,213693.58
1716,197312.86
1717,182199.83
1718,137848.9
1719,194117.73
1720,245336.67
1721,166872.53
1722,129569.91
1723,152938.7
1724,222849.86
1725,240186.7
1726,187543.83
1727,148721.2
1728,168744.33
1729,165745.78
1730,166570.66
1731,124038.09
1732,131167.2
1733,114894.65
1734,120625.71
1735,128003.74
1736,114700.22
1737,345009.12
1738,214421.67
1739,288583.06
1740,278531.7
1741,204897.3
1742,174479.1
1743,171864.92
1744,310568.3
1745,239472.72
